Altium Designer Pick and Place Locations
C:\Users\alex9\Documents\H4\Designs\H4_EtherCAT_6-Port_Module\H4_EtherCAT_6-Port_Module\Outputs\REV1.2\Pick Place\Pick Place for H4_6-port_EtherCAT_Junction_Module(Rev1.2).csv

========================================================================================================================
File Design Information:

Date:       06-03-24
Time:       20:16
Revision:   fb0401d9011f0438844b06f734d2d52a6a53d859
Variant:    Rev1.2
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R181","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1712.011","594.194","0","RES SMD 10K OHM 1% 1/16W 0402"
"R142","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1862.205","913.386","0","RES SMD 10K OHM 1% 1/16W 0402"
"C91","GCM155R71H223KA55D","BottomLayer","CAPC1005X03N(0402)","614.173","2106.299","180","CAP CER 0.022UF 50V X7R 0402"
"R43","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1866.142","1921.260","0","RES SMD 10K OHM 1% 1/16W 0402"
"R23","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1866.142","1992.126","0","RES SMD 10K OHM 1% 1/16W 0402"
"R59","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1708.661","1692.913","0","RES SMD 10K OHM 1% 1/16W 0402"
"R92","RC0402FR-0710KL","TopLayer","RESC1005X06N(0402)","1468.504","1220.472","180","RES SMD 10K OHM 1% 1/16W 0402"
"X1","MTH_2.5MM","TopLayer","MTH-M2.5mm_-_CHASSIS","118.110","2244.095","0",""
"X8","MTH_2.5MM","TopLayer","MTH-M2.5mm_-_CHASSIS","118.110","118.110","0",""
"X2","MTH_2.5MM","TopLayer","MTH-M2.5mm_-_CHASSIS","3228.347","2244.095","0",""
"X9","MTH_2.5MM","TopLayer","MTH-M2.5mm_-_CHASSIS","3228.347","118.110","0",""
"J1","BM05B-GHS-TBT","TopLayer","FP-BM05B-GHS-TBT_LF_SN-MFG","1527.559","2214.567","180","GH Series 5 Circuits 1.25 mm Pitch Disconnectable Top Entry Shrouned Header"
"X11","FIDUCIAL","TopLayer","FIDUCIAL","1673.228","86.614","180",""
"X3","FIDUCIAL","TopLayer","FIDUCIAL","1673.228","1988.189","180",""
"X6","FIDUCIAL","TopLayer","FIDUCIAL","3228.347","917.323","180",""
"X12","FIDUCIAL","BottomLayer","FIDUCIAL","3059.055","2244.095","0",""
"X13","FIDUCIAL","BottomLayer","FIDUCIAL","118.110","1181.102","0",""
"X14","FIDUCIAL","BottomLayer","FIDUCIAL","3059.055","118.110","0",""
"U8","74AHC1G14GW,125","TopLayer","NXP-SOT353-1_L_TSSOP5","1665.354","1066.929","90","74AHC1G14GW/UMT5/REELR//"
"U4","MCP1827-3302E/ET","TopLayer","5-DDPAK__Model2","2946.850","1783.465","180","MCP1827-3302E/ET; LDOVoltage Regulator; 1.5A; 3.3V +/-2%; 2.3 to 6Vin; 5-Pin D2PAK"
"U1","LT8619IMSE#PBF","TopLayer","SOP50P490X110-17N","2464.567","2196.850","0","LT8619 - 60V, 1.2A Synchronous Monolithic Buck Regulator with 6µA Quiescent Current"
"S1","B3U-1100P","TopLayer","FP-B3U-1100P-MFSWITCH_G","1598.425","904.528","0","Switch Tactile N.O. SPST Round Button Gull Wing 0.05A 12VDC 1.5N SMD Embossed T/R"
"R287","RC0603FR-073KL","BottomLayer","RESC1608X09N(0603)","1452.756","1039.370","270","RES SMD 3K OHM 1% 1/10W 0603"
"R111","RC0603FR-072K2L","TopLayer","RESC1608X09N(0603)","1732.283","1173.228","0","RES SMD 2.2K OHM 1% 1/10W 0603"
"R289","RT0603BRB0710KL","BottomLayer","0603","1602.362","1000.000","180","RES SMD 10K OHM 0.1% 1/10W 0603"
"R52","RC0603FR-07680RL","TopLayer","RESC1608X09N(0603)","3283.465","1751.968","90","RES SMD 680 OHM 1% 1/10W 0603"
"R267","CRCW06031K00FKEA","BottomLayer","RESC1608X09N(0603)","3153.543","1681.102","270","MD 1/10watt 1.0Kohms 1%"
"R15","ERJ-2RKF2002X","TopLayer","0402","2418.008","2090.551","180","RES SMD 20K OHM 1% 1/10W 0402"
"R16","ERJ-2RKF1913X","TopLayer","0402","2513.299","2090.342","0","Thick Film Resistors - SMD 0402 191Kohms 1% Tol"
"R12","RC0603FR-07680RL","TopLayer","RESC1608X09N(0603)","2984.252","2098.425","180","RES SMD 680 OHM 1% 1/10W 0603"
"R2","RC0603FR-071ML","TopLayer","RESC1608X09N(0603)","2311.024","2220.472","90","RES SMD 1M OHM 1% 1/10W 0603"
"R17","RC0603FR-071ML","TopLayer","RESC1608X09N(0603)","2602.362","2082.677","0","RES SMD 1M OHM 1% 1/10W 0603"
"R10","RC0603JR-070RL","TopLayer","RESC1608X09N(0603)","2637.795","2137.795","0","RES SMD 0 OHM JUMPER 1/10W 0603"
"R11","RCS04020000Z0ED","TopLayer","0402","118.110","2110.236","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R205","RCS04020000Z0ED","TopLayer","0402","118.110","251.969","270","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R8","RCS04020000Z0ED","TopLayer","0402","3228.347","2110.236","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R206","RCS04020000Z0ED","TopLayer","0402","3228.347","251.969","270","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"Q1","2N7002A-7","TopLayer","SOT95P230X110-3N","1480.315","1043.307","180","MOSFET N-CH 60V 0.18A SOT23"
"L1","XGL4030-472MEC","TopLayer","FP-XGL4030-472MEC-MFG","2799.803","2248.032","0","Inductor Power Shielded Wirewound 4.7uH 20% 1MHz Composite 6.6A 31.5mOhm DCR Automotive T/R"
"FB6","BKP2125HS600-T","BottomLayer","FP-BKP2125-IPC_C","3023.622","1881.890","90","TAIYO YUDEN - BKP2125HS600-T - Ferrite Bead, 0805 [2012 Metric], 60 ohm, 3 A, BKP Series, 0.025 ohm, ± 25%"
"D5","LTST-C193KRKT-5A","TopLayer","LEDC1608X07N(0603)","1744.094","1062.992","90","LED RED CLEAR CHIP SMD"
"D4","LTST-C193KGKT-5A","TopLayer","LEDC1608X07N(0603)","3283.465","1854.331","90","LED GREEN CLEAR CHIP SMD"
"D3","LTST-C193KGKT-5A","TopLayer","LEDC1608X07N(0603)","2919.224","2046.803","180","LED GREEN CLEAR CHIP SMD"
"D2","MBR10U150-TP","TopLayer","TO-277","1922.244","2188.976","180","Diode Schottky 150V 10A TO277"
"C130","CL10B104KC8NNNC","BottomLayer","CAPC1608X09N(0603)","1602.362","940.945","0","CAP CER 0.1UF 100V X7R 0603"
"C50","CL10B104KC8NNNC","TopLayer","CAPC1608X09N(0603)","1578.740","1062.514","90","CAP CER 0.1UF 100V X7R 0603"
"C94","GRM188R61A225KE34D","BottomLayer","CAPC1608X09N(0603)","2929.134","1905.512","0","CAP CER 2.2UF 10V X5R 0603"
"C95","GRM319R6YA106KA12D","BottomLayer","CAPC3216X16N(1206)","3106.299","1818.898","90","MLCC - SMD/SMT 1206 10uF 35volts"
"C14","CL10A475KP8NNNC","TopLayer","CAPC1608X09N(0603)","2814.961","2047.244","0","CAP CER 4.7UF 10V X5R 0603"
"C6","C0603C105K3PACTU","TopLayer","CAPC1608X09N(0603)","2661.417","2188.976","180","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C11","C0603C105K3PACTU","TopLayer","CAPC1608X09N(0603)","2814.961","2094.488","0","MLCC - SMD/SMT 25volts 1uF X5R 10%"
"C10","C1608X5R1A226M080AC","TopLayer","CAPC1608X09N(0603)","2814.961","2141.732","0","CAP CER 22UF 10V X5R 0603"
"C3","CL10B104KC8NNNC","TopLayer","CAPC1608X09N(0603)","2216.535","2220.472","90","CAP CER 0.1UF 100V X7R 0603"
"C4","CL10B104KC8NNNC","TopLayer","CAPC1608X09N(0603)","2263.780","2220.472","90","CAP CER 0.1UF 100V X7R 0603"
"C2","C3216X7S2A225K160AB","TopLayer","CAPC3216X16N(1206)","2149.606","2188.976","90","CAP CER 2.2UF 100V X7S 1206"
"C1","CL10B104KC8NNNC","TopLayer","CAPC1608X09N(0603)","2629.921","2263.780","270","CAP CER 0.1UF 100V X7R 0603"
"X10","XRCGB25M000F3A00R0","TopLayer","FP-XRCGB-MFG","1058.071","106.299","180","Crystal 25MHz ±30ppm (Tol) ±35ppm (Stability) 6pF 100Ohm Automotive 4-Pin SMD T/R"
"X7","XRCGB25M000F3A00R0","TopLayer","FP-XRCGB-MFG","2267.716","826.772","0","Crystal 25MHz ±30ppm (Tol) ±35ppm (Stability) 6pF 100Ohm Automotive 4-Pin SMD T/R"
"X4","XRCGB25M000F3A00R0","TopLayer","FP-XRCGB-MFG","2275.590","1925.197","0","Crystal 25MHz ±30ppm (Tol) ±35ppm (Stability) 6pF 100Ohm Automotive 4-Pin SMD T/R"
"X5","XRCGB25M000F3A00R0","TopLayer","FP-XRCGB-MFG","1059.055","1216.535","180","Crystal 25MHz ±30ppm (Tol) ±35ppm (Stability) 6pF 100Ohm Automotive 4-Pin SMD T/R"
"U13","SN74LVC2G06DBVR","TopLayer","FP-DBV0006A-IPC_C","263.779","220.472","270","Buffer/Driver 2-CH Inverting Open Drain CMOS 6-Pin SOT-23 T/R"
"U11","LAN9254-I/JRX","TopLayer","QFP50P1400X1400X120-81N","1242.126","472.441","90","2/3-PORT Ethercat Slave Controller With 32 Digios With Integrated Ethernet Phys"
"U9","24FC512-I/MF","TopLayer","DFNS-MF8","1094.488","984.252","0","EEPROM Serial-2Wire 512K-bit 64K x 8 1.8V/2.5V/3.3V/5V 8-Pin DFN-S EP Tube"
"U15","SN74LVC2G06DBVR","TopLayer","FP-DBV0006A-IPC_C","2901.575","133.858","0","Buffer/Driver 2-CH Inverting Open Drain CMOS 6-Pin SOT-23 T/R"
"U12","LAN9254-I/JRX","TopLayer","QFP50P1400X1400X120-81N","2088.583","472.441","270","2/3-PORT Ethercat Slave Controller With 32 Digios With Integrated Ethernet Phys"
"U14","24FC512-I/MF","TopLayer","DFNS-MF8","2511.811","125.984","180","EEPROM Serial-2Wire 512K-bit 64K x 8 1.8V/2.5V/3.3V/5V 8-Pin DFN-S EP Tube"
"U10","SN74LVC2G06DBVR","TopLayer","FP-DBV0006A-IPC_C","2897.183","937.478","0","Buffer/Driver 2-CH Inverting Open Drain CMOS 6-Pin SOT-23 T/R"
"U6","LAN9254-I/JRX","TopLayer","QFP50P1400X1400X120-81N","2095.984","1570.866","270","2/3-PORT Ethercat Slave Controller With 32 Digios With Integrated Ethernet Phys"
"U7","24FC512-I/MF","TopLayer","DFNS-MF8","2000.000","1044.685","180","EEPROM Serial-2Wire 512K-bit 64K x 8 1.8V/2.5V/3.3V/5V 8-Pin DFN-S EP Tube"
"U3","SN74LVC2G06DBVR","TopLayer","FP-DBV0006A-IPC_C","263.779","2149.606","90","Buffer/Driver 2-CH Inverting Open Drain CMOS 6-Pin SOT-23 T/R"
"U5","LAN9254-I/JRX","TopLayer","QFP50P1400X1400X120-81N","1242.126","1570.866","90","2/3-PORT Ethercat Slave Controller With 32 Digios With Integrated Ethernet Phys"
"U2","24FC512-I/MF","TopLayer","DFNS-MF8","1102.362","2114.370","0","EEPROM Serial-2Wire 512K-bit 64K x 8 1.8V/2.5V/3.3V/5V 8-Pin DFN-S EP Tube"
"TR6","HX1188NL","TopLayer","FP-HX1188NL-MFG","537.795","387.139","180","Datacom Transformer, GENERAL PURPOSE Application(s), 1:1; 1:1"
"TR4","HX1188NL","TopLayer","FP-HX1188NL-MFG","537.795","918.197","180","Datacom Transformer, GENERAL PURPOSE Application(s), 1:1; 1:1"
"TR5","HX1188NL","TopLayer","FP-HX1188NL-MFG","2842.520","539.370","0","Datacom Transformer, GENERAL PURPOSE Application(s), 1:1; 1:1"
"TR3","HX1188NL","TopLayer","FP-HX1188NL-MFG","2842.520","1291.338","0","Datacom Transformer, GENERAL PURPOSE Application(s), 1:1; 1:1"
"TR2","HX1188NL","TopLayer","FP-HX1188NL-MFG","537.795","1449.256","180","Datacom Transformer, GENERAL PURPOSE Application(s), 1:1; 1:1"
"TR1","HX1188NL","TopLayer","FP-HX1188NL-MFG","537.795","1980.314","180","Datacom Transformer, GENERAL PURPOSE Application(s), 1:1; 1:1"
"R313","CRCW04021M50JNED","BottomLayer","0402","216.535","259.842","180","RES SMD 1.5M OHM 5% 1/16W 0402"
"R312","CRCW04021M50JNED","BottomLayer","0402","283.465","259.842","0","RES SMD 1.5M OHM 5% 1/16W 0402"
"R319","CRCW0402470RJNED","BottomLayer","0402","311.024","78.740","180","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R318","CRCW0402470RJNED","BottomLayer","0402","311.024","118.110","180","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R156","RC0402FR-074K75L","TopLayer","RESC1005X06N(0402)","1062.992","834.646","90","RES SMD 4.75K OHM 1% 1/16W 0402"
"R225","RCS04020000Z0ED","TopLayer","0402","1204.724","94.488","270","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R314","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","456.693","259.842","180","RES SMD 75 OHM 1% 1/16W 0402"
"R304","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","456.693","511.811","180","RES SMD 75 OHM 1% 1/16W 0402"
"R127","CRGCQ0402F100R","TopLayer","0402","1275.591","1007.874","180","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R140","CRGCQ0402F100R","TopLayer","0402","904.528","909.449","0","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R132","CRGCQ0402F100R","TopLayer","0402","904.528","980.315","0","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R122","CRGCQ0402F100R","TopLayer","0402","904.528","1051.181","0","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R134","CRCW04022K20JNED","TopLayer","0402","1275.591","960.630","0","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R141","CRCW04022K20JNED","TopLayer","0402","1275.591","909.449","0","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R322","RC0402FR-0710KL","BottomLayer","RESC1005X06N(0402)","1192.913","94.488","90","RES SMD 10K OHM 1% 1/16W 0402"
"R299","RC0402FR-0710KL","BottomLayer","RESC1005X06N(0402)","1185.039","661.417","90","RES SMD 10K OHM 1% 1/16W 0402"
"R217","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","149.606","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R197","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","283.465","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R190","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","791.339","476.378","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R180","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","791.339","602.362","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R311","RCS04020000Z0ED","BottomLayer","0402","614.173","259.842","0","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R307","RC0402FR-0712K1L","BottomLayer","RESC1005X06N(0402)","1066.929","425.197","180","RES SMD 12.1K OHM 1% 1/16W 0402"
"R295","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","456.693","791.339","180","RES SMD 75 OHM 1% 1/16W 0402"
"R288","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","456.693","1043.307","180","RES SMD 75 OHM 1% 1/16W 0402"
"R174","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","700.787","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R146","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","822.835","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R135","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","1011.811","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R115","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","787.402","1148.909","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R294","RCS04020000Z0ED","BottomLayer","0402","618.110","791.339","0","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R223","CRCW04021M50JNED","TopLayer","0402","2803.150","98.425","270","RES SMD 1.5M OHM 5% 1/16W 0402"
"R215","CRCW04021M50JNED","TopLayer","0402","2803.150","165.354","90","RES SMD 1.5M OHM 5% 1/16W 0402"
"R246","CRCW0402470RJNED","TopLayer","0402","3039.370","70.866","180","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R213","CRCW0402470RJNED","TopLayer","0402","3039.370","192.913","180","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R235","RC0402FR-074K75L","TopLayer","RESC1005X06N(0402)","2248.032","98.425","270","RES SMD 4.75K OHM 1% 1/16W 0402"
"R147","RCS04020000Z0ED","TopLayer","0402","2125.984","843.504","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R300","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","2914.301","663.725","0","RES SMD 75 OHM 1% 1/16W 0402"
"R309","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","2914.301","415.694","0","RES SMD 75 OHM 1% 1/16W 0402"
"R226","CRGCQ0402F100R","TopLayer","0402","2334.646","110.236","0","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R214","CRGCQ0402F100R","TopLayer","0402","2695.768","191.240","180","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R221","CRGCQ0402F100R","TopLayer","0402","2695.768","120.571","180","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R248","CRGCQ0402F100R","TopLayer","0402","2696.850","51.181","180","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R220","CRCW04022K20JNED","TopLayer","0402","2335.066","146.483","180","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R216","CRCW04022K20JNED","TopLayer","0402","2335.331","181.102","180","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R293","RC0402FR-0710KL","BottomLayer","RESC1005X06N(0402)","2141.732","826.772","270","RES SMD 10K OHM 1% 1/16W 0402"
"R310","RC0402FR-0710KL","BottomLayer","RESC1005X06N(0402)","2157.480","303.150","270","RES SMD 10K OHM 1% 1/16W 0402"
"R173","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2582.677","787.402","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R184","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2582.677","637.795","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R187","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2591.807","447.539","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R198","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2590.551","283.465","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R303","RC0402FR-0712K1L","BottomLayer","RESC1005X06N(0402)","2259.843","519.685","0","RES SMD 12.1K OHM 1% 1/16W 0402"
"R308","RCS04020000Z0ED","BottomLayer","0402","2763.780","413.386","180","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R306","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2488.189","425.197","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R305","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2488.189","393.701","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R301","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2488.189","492.126","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R302","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2488.189","456.693","180","RES SMD 49.9 OHM 1% 1/16W 0402"
"R138","CRCW04021M50JNED","TopLayer","0402","2798.758","905.982","270","RES SMD 1.5M OHM 5% 1/16W 0402"
"R130","CRCW04021M50JNED","TopLayer","0402","2798.758","972.911","90","RES SMD 1.5M OHM 5% 1/16W 0402"
"R144","CRCW0402470RJNED","TopLayer","0402","3046.790","878.423","180","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R129","CRCW0402470RJNED","TopLayer","0402","3046.790","996.533","180","Vishay CRCW Series Thick Film Resistor 0402 Case 470 5% 0.063W 200ppm/K"
"R100","RC0402FR-074K75L","TopLayer","RESC1005X06N(0402)","2267.716","1200.787","270","RES SMD 4.75K OHM 1% 1/16W 0402"
"R26","RCS04020000Z0ED","TopLayer","0402","2129.921","1929.819","90","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R275","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","2917.323","1417.323","0","RES SMD 75 OHM 1% 1/16W 0402"
"R286","CRCW040275R0FKEDC","BottomLayer","RESC1005X06N(0402)","2917.323","1165.354","0","RES SMD 75 OHM 1% 1/16W 0402"
"R125","CRGCQ0402F100R","TopLayer","0402","1826.772","1023.622","0","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R117","CRGCQ0402F100R","TopLayer","0402","2185.039","1114.173","180","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R123","CRGCQ0402F100R","TopLayer","0402","2185.039","1043.307","180","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R133","CRGCQ0402F100R","TopLayer","0402","2185.039","972.441","180","Res Thick Film 0402 100 Ohm 1% 0.063W(1/16W) ±200ppm/C Pad SMD Automotive T/R"
"R120","CRCW04022K20JNED","TopLayer","0402","1826.772","1070.866","180","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R116","CRCW04022K20JNED","TopLayer","0402","1826.772","1118.110","180","Vishay CRCW Series Thick Film Resistor 0402 Case 2.2k 5% 0.063W 200ppm/K"
"R260","RC0402FR-0710KL","BottomLayer","RESC1005X06N(0402)","2137.795","1925.197","270","RES SMD 10K OHM 1% 1/16W 0402"
"R276","RC0402FR-0710KL","BottomLayer","RESC1005X06N(0402)","2165.354","1401.575","270","RES SMD 10K OHM 1% 1/16W 0402"
"R69","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2583.362","1523.622","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R83","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2583.362","1389.764","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R89","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2583.362","1208.661","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R121","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2583.362","1047.244","0","RES SMD 49.9 OHM 1% 1/16W 0402"
"R268","RC0402FR-0712K1L","BottomLayer","RESC1005X06N(0402)","2271.653","1618.110","0","RES SMD 12.1K OHM 1% 1/16W 0402"
"R112","RCS04020000Z0ED","BottomLayer","0402","2748.032","1165.354","180","VISHAY - RCS04020000Z0ED - SMD Chip Resistor, 0402 [1005 Metric], 0 ohm, RCS Series, 50 V, Thick Film, 200 mW"
"R273","CRCW040249R9FKED","TopLayer","RESC1005X06N(0402)","2511.811","1514.436","180","RES SMD 49.9 OHM 1% 1/16W 0402"
